Plutarch, 2053 books
Giovanni Boccaccio, 412 books
14th Dalai Lama, 232 books
Thomas Merton, 191 books
Alexandre Dumas, 160 books
Johann Wolfgang von Goethe, 133 books
R. H. Bruce Lockhart, 120 books
Mike Venezia, 111 books
Jeff Savage, 107 books
Joanne Mattern, 106 books
Jill C. Wheeler, 99 books
James Haskins, 89 books
Nathan Aaseng, 87 books
Sarah Tieck, 86 books
Bill Gutman, 81 books
Henri Troyat, 78 books
Kathleen Tracy, 75 books
George Murray Smith, 71 books
David A. Adler, 70 books
Benjamin Franklin, 70 books
Stewart, Mark, 67 books
Carol Greene, 63 books
Matt Doeden, 62 books
Ann Gaines, 62 books
William R. Sanford, 62 books
